id,name,lat,lon
E01011264,Leeds 011A,53.8718838958965,-1.68105212397387
E01011265,Leeds 009A,53.8739330462337,-1.71097912848413
E01011266,Leeds 008A,53.8783504435552,-1.73799368686565
E01011267,Leeds 009B,53.8740772494895,-1.70274542102154
E01011268,Leeds 010A,53.8732459476167,-1.69389823111966
E01011269,Leeds 011B,53.8700386840449,-1.67413634236088
E01011270,Leeds 008B,53.8800893650734,-1.76744103428458
E01011271,Leeds 009C,53.8704389765388,-1.71734157532155
E01011272,Leeds 009D,53.8651435660155,-1.70667081876198
E01011273,Leeds 010B,53.8669319040218,-1.69584150366985
E01011274,Leeds 010C,53.8641143401955,-1.68741436238905
E01011275,Leeds 010D,53.863801179741,-1.69610735255417
E01011276,Leeds 011C,53.862040053573,-1.68044637560743
E01011277,Leeds 014A,53.8571390953405,-1.6941246239545
E01011278,Leeds 014B,53.8568379203122,-1.68666464278594
E01011279,Leeds 008C,53.8840704230983,-1.70113126121142
E01011280,Leeds 008D,53.8800248985608,-1.71438156561532
E01011281,Leeds 059A,53.8099907302621,-1.60519527524067
E01011282,Leeds 059B,53.8096202781548,-1.6229236021755
E01011283,Leeds 059C,53.8059971274885,-1.60997499747043
E01011284,Leeds 071A,53.8029471849067,-1.58750435529971
E01011286,Leeds 059D,53.8066876692103,-1.61832438566227
E01011287,Leeds 067B,53.8038176966556,-1.63417034021989
E01011292,Leeds 071B,53.796018477725,-1.59185776173795
E01011293,Leeds 071C,53.7971761789075,-1.58607365628369
E01011294,Leeds 071D,53.7952141678245,-1.57849442056274
E01011295,Leeds 059E,53.8106587609855,-1.6168179855306
E01011296,Leeds 030A,53.8154601361641,-1.39011378843139
E01011297,Leeds 030B,53.809543655959,-1.36472025804427
E01011298,Leeds 088A,53.7949484969516,-1.33764409178929
E01011299,Leeds 088B,53.7576518478182,-1.32434378321554
E01011300,Leeds 089A,53.7769485110332,-1.38104053800873
E01011301,Leeds 089B,53.7731251692598,-1.37161510160821
E01011302,Leeds 088C,53.7761597801702,-1.36125067511754
E01011303,Leeds 088D,53.7618110075505,-1.36053979602184
E01011304,Leeds 089C,53.7662291964461,-1.37052030503665
E01011305,Leeds 089D,53.7638967281155,-1.37399777202377
E01011306,Leeds 089E,53.76816202513,-1.38297886978208
E01011307,Leeds 103A,53.7509885454588,-1.36793739454938
E01011308,Leeds 103B,53.7540122356533,-1.38274736342599
E01011309,Leeds 030C,53.8515139711464,-1.37280071703003
E01011310,Leeds 030D,53.8595541656296,-1.41167444244649
E01011311,Leeds 022A,53.8581909784119,-1.44676324597663
E01011312,Leeds 086A,53.7735714331882,-1.54749244957256
E01011313,Leeds 091A,53.772341288077,-1.56084076397093
E01011314,Leeds 091B,53.773684767971,-1.5590905226342
E01011315,Leeds 090A,53.7701831968099,-1.56568509782883
E01011316,Leeds 086B,53.7708517437158,-1.55295777320757
E01011317,Leeds 090B,53.7679662404115,-1.57761336933882
E01011318,Leeds 090C,53.7718344302081,-1.5848104736132
E01011319,Leeds 091C,53.7672360646608,-1.55598671369237
E01011320,Leeds 091D,53.766505005999,-1.55910505760779
E01011321,Leeds 090D,53.7636925950155,-1.57007094477582
E01011322,Leeds 091E,53.7660897987529,-1.54611761049015
E01011323,Leeds 051A,53.8153513071798,-1.62983867333126
E01011324,Leeds 046A,53.8182731441927,-1.61297139028447
E01011325,Leeds 046B,53.8223478471145,-1.62939634736916
E01011326,Leeds 046C,53.8180593024489,-1.62482191193062
E01011327,Leeds 052A,53.8207762965217,-1.65098119774134
E01011328,Leeds 052B,53.8125850220645,-1.65737058832245
E01011329,Leeds 051B,53.8146392242093,-1.63896610313819
E01011330,Leeds 051C,53.8186409637881,-1.64333104494117
E01011331,Leeds 058A,53.81138353931,-1.63131655545974
E01011332,Leeds 046D,53.8142118168121,-1.61987327998383
E01011333,Leeds 051D,53.8115809952309,-1.6473586903251
E01011334,Leeds 058B,53.8081386207449,-1.63434723533139
E01011335,Leeds 052C,53.8087586619879,-1.65992434001354
E01011336,Leeds 058C,53.8096861936551,-1.62775371026958
E01011337,Leeds 058D,53.8086282126346,-1.64072112506912
E01011338,Leeds 064A,53.7993497207244,-1.52213818612991
E01011339,Leeds 060A,53.8118016616045,-1.4852844750739
E01011340,Leeds 060B,53.8065173924344,-1.50129720404333
E01011341,Leeds 061A,53.8031077357194,-1.47476488706638
E01011342,Leeds 060C,53.8075048092766,-1.49466986090067
E01011343,Leeds 061B,53.8083704317858,-1.4726152346113
E01011344,Leeds 065A,53.8075673328107,-1.50749205815679
E01011345,Leeds 061C,53.8056167586398,-1.4562509734743
E01011346,Leeds 060D,53.8064606068127,-1.48581154640629
E01011347,Leeds 065B,53.8046062962579,-1.50931142071754
