LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011681,Leeds 063D,75.44,75.81,85.15,82.72,88.74,75.64,80.79
E01011684,Leeds 019C,67.75,80.02,68.47,67.15,71.79,68.66,71.19
E01011685,Leeds 109A,70.04,79.68,66.38,73.09,77.39,70.49,74.25
E01011686,Leeds 033E,68.86,78.77,66.48,69.36,73.06,69.53,71.98
E01011687,Leeds 109B,69.28,82.52,69.31,72.01,74.86,70.1,73.77
E01011688,Leeds 031B,69.46,80.8,70.32,70.12,84.33,70.37,75.7
E01011689,Leeds 031C,68.06,79.35,66.39,69.54,82.44,69.04,74.2
E01011690,Leeds 109C,70.9,82.5,72.09,77.39,85.68,71.53,78.07
E01011691,Leeds 031D,70.01,78.66,74,73.14,88.18,71.03,77.16
E01011692,Leeds 109D,70.25,79.04,73.26,74.62,86.83,71.07,77.15
E01011693,Leeds 109E,69.8,77.76,74.32,73.48,88.65,70.77,77.1
E01011694,Leeds 109F,71.62,80.51,76.2,78.9,87.76,72.16,78.93
E01011695,Leeds 019D,66.3,78.88,69,63.86,71.8,67.11,69.93
E01011696,Leeds 006B,47.14,40.17,43.93,43.78,48.98,50.9,46.34
E01011697,Leeds 002A,45.64,49.6,37.39,47.44,47.17,43.8,46.73
E01011698,Leeds 001A,48.4,59.52,58.72,55.76,72.72,49.5,58.33
E01011699,Leeds 001B,47.78,56.22,53.31,51.59,65.42,48.64,54.79
E01011700,Leeds 002B,49.27,60.86,63.6,58.22,78.23,49.86,60.81
E01011701,Leeds 001C,50.58,62.1,63.28,60.44,76.26,51.93,61.43
E01011702,Leeds 001D,49.8,55.65,57.18,56.75,65.38,51.27,56.48
E01011703,Leeds 001E,49.95,52.76,53.94,54.47,60.97,51.22,54.44
E01011704,Leeds 002C,51.3,63.02,66.79,63.57,82.2,52.38,63.97
E01011705,Leeds 002D,50.61,63.36,67.55,62.39,80.29,51.24,63.09
E01011706,Leeds 006C,45.54,40.37,44.22,44.38,48.7,49.28,45.78
E01011707,Leeds 005A,43.75,63.99,43.28,50.29,52.82,46.64,50.92
E01011708,Leeds 006D,45.97,37.53,30.24,46.17,34.93,50.4,41.78
E01011709,Leeds 005B,43.59,65.27,48.31,52.43,60.35,45.76,53.46
E01011710,Leeds 005C,42.15,58.23,37.52,48.06,43.08,45.74,46.35
E01011711,Leeds 005D,43.28,61.07,50.96,51.8,61.81,44.85,52.95
E01011712,Leeds 005E,40.8,48.38,27.07,44.94,35.57,44.92,41.42
E01011713,Leeds 006E,51.24,40.29,34.66,45.57,39.06,55.51,45.4
E01011714,Leeds 029A,65.43,70.21,61.33,63.6,63.62,66.07,65.71
E01011715,Leeds 022C,61.24,57.47,47.98,53.48,51.08,62.51,56.72
E01011716,Leeds 029B,66.43,67.31,58.9,62.36,65.47,67.11,65.8
E01011717,Leeds 029C,66.68,72.61,64.21,66.99,68.7,67.23,68.52
E01011718,Leeds 029D,66.87,73.86,65.57,67.32,69.36,67.24,69.06
E01011719,Leeds 022D,61.63,59.81,47.52,56.94,52.17,62.17,58
E01011720,Leeds 029E,68.9,78.25,72.77,73.97,80.61,69.27,74.76
E01011721,Leeds 041A,68.53,78.47,72.38,73.39,78.84,68.39,74.06
E01011722,Leeds 041B,67.98,77.29,69.22,71.76,78.3,67.44,73.1
E01011723,Leeds 041C,68.08,78.02,70.43,72.46,78.76,67.6,73.54
E01011724,Leeds 041D,69.57,80.83,74.58,75.08,84.31,69.48,76.6
E01011725,Leeds 078A,71.37,76.48,71.85,71.42,82.75,70.8,75.45
E01011726,Leeds 080A,68.87,74.42,60.93,63.58,70.72,67.68,69.38
E01011727,Leeds 080B,69.4,73.05,63.69,63.91,71.8,68.41,69.81
E01011728,Leeds 080C,67.79,60.92,50.86,59.29,57.67,67.8,62.43
E01011729,Leeds 078B,72.58,77.04,75.81,75.45,90.58,72.05,78.79
E01011730,Leeds 078C,70.23,75.17,64.14,66.24,75.85,69.28,71.9
E01011731,Leeds 081B,71,72.06,64.96,67.88,80.16,70.17,73.07
E01011732,Leeds 081C,72.49,74.35,69.7,72.83,86.35,71.86,76.58
E01011733,Leeds 081D,73.42,70.96,68.52,72.24,84.84,73.16,75.88
E01011734,Leeds 083A,72.1,65.34,63.81,63.08,75.36,71.61,70.38
E01011735,Leeds 078D,70.27,76.2,60.89,64.61,73.96,69.48,71.24
E01011736,Leeds 083B,73.16,72.36,70.17,71.26,85.31,72.95,76.04
E01011737,Leeds 083C,71.89,74.36,67.4,66.87,80.75,71.6,73.93
E01011738,Leeds 083D,68.73,67.77,52.39,61.28,61.4,68.39,65.23
E01011739,Leeds 080D,70.91,75.55,71.33,68.35,79.81,70.61,73.9
E01032487,Leeds 097F,68.37,66.7,68.05,60.15,76.58,67.39,69.13
E01032488,Leeds 097G,68.66,65.48,64.43,60.21,72.42,67.8,67.86
E01032489,Leeds 102F,70.75,77.02,67.84,73.79,87.32,70.22,76.68
E01032490,Leeds 102G,68.77,72.39,62.15,66.66,78.59,68.04,71.57
E01032491,Leeds 102H,67.07,68.28,58.46,63.12,73.84,65.94,68.28
E01032492,Leeds 102I,70.67,79.19,70.27,75.6,89.78,70.11,78.01
E01032493,Leeds 033F,71.79,71.39,67.85,69.5,77.03,72.17,72.94
E01032494,Leeds 033G,71.11,75.22,67.56,68.77,76.04,71.47,72.94
E01032496,Leeds 105F,69.18,73.17,60.15,59.35,66.41,68.21,67.53
E01032497,Leeds 099E,68.6,75.97,80.13,64.74,80.79,66.97,72.98
E01032498,Leeds 099F,69.52,79.44,82.1,66.65,86.91,68.13,75.86
E01032499,Leeds 067G,72.88,74.13,77.56,74.5,84.57,73.04,76.87
E01032500,Leeds 067H,73.66,76.92,81.46,79.3,91.99,73.71,80.42
E01032501,Leeds 017E,70.57,73.52,60.53,64.59,79.19,70.57,72.28
E01032502,Leeds 017F,69.23,73.25,60.75,63.27,76.52,69.41,70.86
E01032503,Leeds 007E,51.36,41.44,43.49,43.84,50.27,55.54,48.55
E01032504,Leeds 007F,56.22,49.46,47.58,48.23,54.12,59.05,53.49
E01032606,Leeds 067I,72.28,73.4,74.45,71.95,83.99,72.46,75.85
E01032607,Leeds 067J,72.85,76.75,79.92,77.38,91.82,72.73,79.66
E01032608,Leeds 067K,73.32,76.28,80.23,77.63,90.04,73.43,79.38
E01032876,Leeds 109G,67.47,75.7,60.66,66.8,71.09,68.34,69.82
E01032946,Leeds 110G,73.5,80.11,79.09,80.13,86.81,73.79,79.64
E01033002,Leeds 055F,76.98,85.12,87.47,88.31,91.81,77.53,84.72
E01033003,Leeds 055G,76.93,87.32,87.47,88.37,93.03,77.42,85.39
E01033008,Leeds 111A,78.86,80.29,92.84,91.23,94.23,79.85,85.95
E01033010,Leeds 111B,78.98,85.07,93.4,93.22,96.74,80.13,87.79
E01033011,Leeds 111C,78.81,87.33,89.09,90.66,94.36,79.63,86.9
E01033013,Leeds 082E,76.96,74.97,78.3,81.55,85.88,77.1,80.06
E01033015,Leeds 111D,79.52,76.57,85.11,85.24,90.77,80.62,83.48
E01033016,Leeds 111E,79.6,83.47,86.07,87.11,93.43,80.61,85.67
E01033021,Leeds 075E,76.31,86.52,81.11,85.34,85.46,76.36,82.33
E01033031,Leeds 064E,77.04,89.68,89.86,87.85,93.75,77.47,86.01
E01033033,Leeds 075F,77.93,87.35,87.07,89.2,90.69,78.5,85.31
E01033034,Leeds 075G,77.05,85.47,82.05,86.24,87.38,77.36,83.13
E01033035,Leeds 064F,76.2,90.01,90.68,85.06,92.19,76.37,84.92
E01035040,Leeds 044G,72.96,78.59,79.84,79.04,88.23,73.58,79.41
E01035041,Leeds 044H,73.16,78.04,80.5,78.95,88.71,73.72,79.53
E01035042,Leeds 055I,75.24,82.32,84.72,84.53,89.01,75.42,82.13
E01035043,Leeds 055J,76.93,83.05,90,88.39,91.02,77.51,84.27
E01035044,Leeds 063F,75.59,77.82,87.58,85.24,88.36,75.74,81.57
E01035045,Leeds 063G,75.97,75.62,87.93,83.9,88.27,76.23,81.14
E01035046,Leeds 082G,78.4,80.18,77.85,82.15,88.19,78.76,82.17
E01035047,Leeds 082H,76.79,78.18,75.65,81.07,85.97,76.56,80.35
E01035048,Leeds 099G,69.02,78.32,81.91,66.13,82.63,67.72,74.32
E01035049,Leeds 099H,67.83,74.86,73.23,61.17,73.74,66.48,69.9
E01035050,Leeds 105G,67.81,73.94,77.83,60.89,76.89,66.16,70.65
E01035051,Leeds 105H,66.8,71.76,74.23,57.66,71.06,65.08,67.76
E01035052,Leeds 105I,63.48,64.55,57.84,48.51,54.78,62.14,59.1
E01035053,Leeds 105J,64.53,63.07,52.36,45.84,50.03,62.73,57.38
E01035054,Leeds 112F,76.9,84.17,79.64,83.58,87.46,76.98,82.35
