LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011411,Leeds 073A,67.71,67.86,70.87,66.46,79.3,66.63,70.85
E01011412,Leeds 057F,70.87,72.67,75.04,75.3,83.95,70.29,75.66
E01011413,Leeds 069A,71.7,77.53,74.75,76.3,86.98,71.16,77.71
E01011414,Leeds 073B,70.99,73.47,73.77,76.41,84.16,70.27,76
E01011415,Leeds 069B,71.13,79.33,71.16,76.06,88.17,70.33,77.9
E01011416,Leeds 069C,71.22,78.69,71.29,76.3,85.33,70.55,77.16
E01011417,Leeds 069D,70.81,79.95,70.83,76.16,87.44,70.19,77.71
E01011418,Leeds 073C,68.25,70.77,68.71,71.16,78.38,67.27,71.98
E01011419,Leeds 073D,66.88,67.1,61.56,67.77,68.92,65.5,67.59
E01011420,Leeds 069E,67.14,67.34,54.46,63.91,67.36,65.7,66.45
E01011421,Leeds 040A,70.46,75.03,80.43,69.81,86.66,70.2,75.95
E01011422,Leeds 048A,73.79,82.9,88.26,80.58,95.77,73.76,82.88
E01011423,Leeds 047A,69.71,74.04,75.87,67.24,82.74,69.33,73.91
E01011424,Leeds 047B,71.08,76.98,77.36,70.77,87.18,70.73,76.68
E01011425,Leeds 040B,69.3,72.34,76.13,65.81,80.5,68.99,72.69
E01011426,Leeds 048B,73.55,83.8,87.88,79.82,94.39,73.54,82.46
E01011427,Leeds 047C,72.42,82.17,83.88,76.44,92.4,72.2,80.54
E01011428,Leeds 048C,74.25,85.4,90.91,82.58,96.66,74.35,84.14
E01011429,Leeds 048D,74.38,85.78,90.76,81.7,95.02,74.41,83.69
E01011430,Leeds 053A,73.24,84.03,87.74,79.59,95.21,73.18,82.54
E01011431,Leeds 047D,71.15,79.16,79.12,72.73,87.57,70.79,77.55
E01011432,Leeds 053B,73.37,85.17,90.33,80.94,96.26,73.19,83.35
E01011433,Leeds 053C,73.86,85.81,90.75,82,95.82,73.64,83.72
E01011434,Leeds 053D,74.36,86.7,91.95,82.47,95.88,74.27,84.21
E01011435,Leeds 044A,73.07,80.48,80.98,81.27,91.71,73.5,81.04
E01011440,Leeds 044D,73.58,82.75,83.67,82.89,92.47,74.14,82.17
E01011441,Leeds 044E,74.28,78.52,79.44,80.61,87.58,74.58,79.96
E01011442,Leeds 110A,73.87,79.66,80.24,80.71,87.99,74.02,80.13
E01011443,Leeds 110B,74.46,81.69,82.13,83.8,89.77,74.73,81.71
E01011444,Leeds 110C,74.33,80.2,82.43,83.85,89.59,74.58,81.39
E01011445,Leeds 054A,74.35,79.21,81.65,82.85,89.7,74.49,81.06
E01011446,Leeds 054B,75.17,80.29,81.62,83.16,90.03,75.76,81.73
E01011447,Leeds 054C,74.99,78.03,82.41,83.91,90.74,75.2,81.57
E01011448,Leeds 054D,74.77,78.75,83.23,84.14,90.27,74.95,81.55
E01011449,Leeds 054E,74.98,77.25,82.17,83.99,90.94,75.18,81.49
E01011450,Leeds 038D,70.43,75.75,70.57,70.7,79.46,71.14,74.08
E01011451,Leeds 110D,71.97,79.39,79.5,77.64,88.85,72.45,79.08
E01011452,Leeds 027A,67.78,67.56,56.28,65.53,78.15,68.59,69.99
E01011453,Leeds 028A,69.56,69.05,59.96,65.86,76.95,70.01,70.79
E01011454,Leeds 027B,68.88,71.92,61.15,69.84,84.67,69.72,73.67
E01011455,Leeds 021A,66.39,72.75,51.31,62.98,72.25,66.52,68.18
E01011456,Leeds 021B,68.54,76,56.35,65.04,78.36,68.6,71.62
E01011457,Leeds 027C,63.42,58.78,49.05,57.16,61.59,64.77,61.07
E01011458,Leeds 027D,64.42,60.59,49.57,58.03,65.94,66.47,63.09
E01011459,Leeds 021C,69.93,81.07,63.56,71.46,86.32,70.22,76.33
E01011460,Leeds 028B,69.2,80.13,63.05,69.13,83.03,69.58,74.68
E01011461,Leeds 021D,66.84,73.59,56.31,67.59,77.56,67.77,70.82
E01011462,Leeds 028C,68.49,79.28,63.01,70.43,84.31,69.24,74.82
E01011463,Leeds 028D,68.62,78.88,63.46,67.34,81.15,69.35,73.53
E01011464,Leeds 028E,68.85,76.05,63.31,65.98,77.8,69.57,72.07
E01011465,Leeds 027E,69.72,76.54,64.51,73.33,87.58,70.57,76.18
E01011466,Leeds 094A,70.03,78.46,78.25,69.87,83.66,68.7,75.44
E01011467,Leeds 112A,74.97,85.08,79.2,81.37,88.46,74.47,81.59
E01011468,Leeds 112B,73.83,82.36,78.14,77.87,86.59,73.17,79.61
E01011469,Leeds 094B,69.56,71.1,67.33,64.06,71.51,67.67,69.56
E01011470,Leeds 112C,72.53,78.81,73.95,73.16,81.31,71.45,76.24
E01011471,Leeds 092A,72.12,80.42,74.76,75.07,83.67,70.66,77.25
E01011472,Leeds 092B,72.1,80.51,75.76,74.06,82.39,70.66,76.81
E01011473,Leeds 092C,71.01,79.29,73.53,71,77.93,69.16,74.45
E01011474,Leeds 092D,71.45,77.16,74.03,70.09,77.85,69.8,74.14
E01011475,Leeds 094C,70.06,76.36,73.91,68.7,79.06,68.3,73.54
E01011476,Leeds 094D,69.86,75.87,73.02,68.53,79.62,68.23,73.47
E01011477,Leeds 045A,74.29,77.61,77.28,76.56,87.86,74.89,79.18
E01011478,Leeds 056A,74.68,76.98,78.78,79.65,90.87,74.91,80.51
E01011479,Leeds 056B,74.68,76.15,78.08,79.69,89.11,75.05,79.91
E01011480,Leeds 045B,73.89,76.17,75.57,75.03,86.64,74.3,78.16
E01011481,Leeds 056C,75.94,78.22,83.19,84.3,91.82,76.35,82.36
E01011482,Leeds 056D,75,76.45,78.19,80.01,91.88,75.39,80.84
E01011483,Leeds 056E,75.97,77.14,83.99,84.28,92.01,76.44,82.27
E01011484,Leeds 033A,70.46,76.09,67.24,70.79,73.85,70.93,72.59
E01011485,Leeds 033B,71.5,74.5,69.04,72.45,74.98,71.98,73.34
E01011488,Leeds 045C,73.64,76.35,75.09,77.02,85.24,74.3,78.05
E01011489,Leeds 045D,73.25,76.79,74.05,76.72,82.41,73.84,77.16
E01011491,Leeds 101A,69.54,74.66,74.87,62.49,81.13,68.03,72.66
E01011492,Leeds 101B,68.03,75.43,79.68,62.81,81.99,66.5,72.66
E01011493,Leeds 101C,69.81,73.94,72.84,62.29,79.47,68.37,72.12
E01011494,Leeds 101D,68.23,75.45,80.21,63.41,83.83,66.81,73.33
E01011496,Leeds 100A,69.46,70.09,59.38,61.41,66.61,68.67,67.48
E01011497,Leeds 101E,68.86,73.67,76.62,63.36,82.91,67.44,72.9
E01011500,Leeds 105D,68.14,71.94,61.8,58.05,64.17,66.93,66.19
E01011502,Leeds 099C,68.52,75.25,70.33,65.6,76.5,67.13,71.52
E01011504,Leeds 032A,68.59,82.3,71.98,66.27,77.77,68.88,73.36
E01011505,Leeds 025A,67.96,83.93,65.26,65.1,75.73,68.81,72.48
E01011506,Leeds 025B,70.42,87.75,74.05,71.19,82.83,71.01,77.15
E01011507,Leeds 025C,69.99,84.23,69.95,69.75,81.95,70.5,75.77
E01011508,Leeds 024A,67.4,80.17,74.48,66.69,79.07,68.17,73.07
E01011509,Leeds 023A,67.88,80.44,75.21,66.41,77.57,68.56,72.9
E01011510,Leeds 025D,69.02,84.66,73.34,69.57,81.14,69.84,75.39
E01011511,Leeds 023B,69.45,84.92,78.03,70.09,81.9,69.86,76.02
E01011512,Leeds 023C,70.57,86.53,82.24,74.74,87.09,71.5,78.98
E01011513,Leeds 031A,66.55,79.75,59.65,63.26,71.44,67.78,69.67
E01011514,Leeds 025E,69.94,84.35,77.46,71.07,83.53,70.66,76.69
E01011515,Leeds 023D,71.37,86.73,80.71,74.95,87.24,71.97,79.31
E01011516,Leeds 023E,70.64,83.43,78.12,71.58,83.92,71.12,76.99
E01011517,Leeds 024B,68.38,83.48,74.56,67.86,78.1,68.7,73.91
E01011518,Leeds 093A,72.56,66.13,60.75,65.23,70.4,71.43,69.6
E01011519,Leeds 095A,67.78,64.8,57.04,61.38,66.62,67.55,65.89
E01011520,Leeds 096A,67.56,64.03,55.83,61.36,66.78,67.32,65.67
E01011521,Leeds 096B,67.28,61.3,57.57,64.11,66.42,67.56,65.55
E01011522,Leeds 095B,69.84,71.15,63.35,65.49,72.59,69.63,70.16
E01011523,Leeds 096C,68.12,69.95,61.13,63.68,70.39,67.51,68.33
E01011524,Leeds 093B,71.56,67.63,60.51,65.62,71.79,70.35,69.86
E01011525,Leeds 095C,70.67,78.17,66.4,74.23,86.34,69.81,76.58
E01011526,Leeds 093C,69.39,65.3,53.86,61.53,65.83,67.81,66.19
E01011527,Leeds 096D,64.9,62.48,54.39,62.63,66.12,65.24,64.4
E01011528,Leeds 095D,69.07,69.41,56.44,65,74.34,67.66,69.57
E01011529,Leeds 096E,65.5,60.78,55.32,62.8,68.56,65.37,64.99
E01011530,Leeds 106A,67.51,79.49,65.23,70.94,78.9,66.49,73.11
E01011531,Leeds 093D,70.81,68.35,58.99,66.5,75.52,69.9,70.74
E01011532,Leeds 095E,69.95,76.83,63.6,70.27,81.75,69.01,74.18
E01011533,Leeds 104A,70.83,77.9,68.87,75.61,88.67,70.05,77.51
E01011534,Leeds 106B,65.48,77.62,64.92,70.02,79.8,64.56,72.1
E01011535,Leeds 108A,64.57,69.5,50.77,59.18,62.05,64.38,63.69
E01011536,Leeds 108B,64.17,65.77,50.86,57.01,59.43,64.02,61.91
E01011537,Leeds 107A,63.19,60.58,53.9,55.59,66.45,62.81,62.32
E01011538,Leeds 107B,63.61,62.22,59.82,57.74,67.21,63.4,63.53
E01011540,Leeds 102B,68.25,69.35,57.67,61.86,73.08,67.19,68.51
E01011541,Leeds 104B,69.89,82.01,74.4,79.72,92.96,69.36,79.8
E01011545,Leeds 104C,67.27,78.95,70.06,73.5,86.1,66.42,75.36
E01011546,Leeds 106C,64.97,72.92,63.18,67.16,78.93,64.45,70.4
E01011547,Leeds 104D,68.09,75.81,66.99,72.14,85.34,67.41,74.64
E01011548,Leeds 106D,66.02,73.66,53.17,63.29,67.18,65.68,66.98
E01011549,Leeds 108C,65.9,68.73,55.65,59.34,64.11,65.21,64.77
E01011550,Leeds 106E,66.82,70.92,55.15,62.06,66.95,65.99,66.61
E01011551,Leeds 107C,63.42,60.69,53.62,50.43,59.22,62.28,59.71
E01011552,Leeds 107D,65.59,67.74,62.54,60.96,69.94,65.08,66.5
E01011553,Leeds 108D,65.23,66.7,56.36,57.78,63.75,64.68,63.87
E01011554,Leeds 012A,59.04,70.14,55.62,51.64,58.27,62.4,60
E01011555,Leeds 018A,64.29,83.44,60.52,59.05,63.31,65.77,66.74
E01011556,Leeds 015A,67.65,80.03,72.88,66.22,73.86,68.7,71.71
E01011557,Leeds 015B,67.57,80.01,69.1,65.5,73.4,68.5,71.29
E01011558,Leeds 018B,67.41,88.3,70.93,67.87,75.79,68.67,73.7
E01011559,Leeds 018C,66.33,85.11,68.98,66.59,75.07,67.92,72.31
E01011560,Leeds 018D,64.83,80.7,62.8,62.28,69.1,66.24,68.55
E01011561,Leeds 006A,59.59,52.66,48.51,48.99,53.1,62.22,55.22
E01011562,Leeds 012B,63.44,64.51,59.2,55.89,61.18,65,62.15
E01011563,Leeds 012C,60.83,67.6,56.09,54.02,60.67,63.51,61.21
E01011564,Leeds 012D,57.79,66.79,52.96,51.08,57.37,61.39,58.55
E01011565,Leeds 015C,66.37,79.52,65.25,61.87,69.09,67.5,68.95
E01011566,Leeds 015D,61.31,58.55,55.39,52.68,58.94,63.18,59.13
E01011567,Leeds 012E,62.3,78.8,61.26,56.77,65.43,64.16,65.43
E01011568,Leeds 015E,64.79,69.82,65.07,59.87,64.6,65.86,65.24
E01011569,Leeds 004A,55.54,67.74,73.62,75.27,89.7,59.18,70.63
E01011570,Leeds 007A,52.44,47.39,46.18,53.52,53.42,56.25,52.35
E01011571,Leeds 004B,57.16,66.19,68.38,73.28,83.69,59.56,68.85
E01011572,Leeds 004C,54.03,64.32,67.27,72.23,87.16,57.91,68.12
E01011573,Leeds 004D,58.48,59.83,57.43,66.48,72.2,59.5,63.78
E01011574,Leeds 004E,56.7,69.21,75.57,77.74,93.37,59.8,72.67
E01011576,Leeds 007C,49.99,43.15,44.6,44.57,49.51,54.35,48.28
E01011578,Leeds 011D,62.61,68.42,65.82,68.33,82.63,64.37,70.15
E01011579,Leeds 014C,63.46,72.21,61.28,66.31,78.73,64.97,69.61
E01011580,Leeds 014D,63.73,70.63,58.84,65.31,77.54,65.68,68.94
E01011581,Leeds 003A,44.28,59.9,71.03,58.55,71.72,50.62,57.89
E01011582,Leeds 003B,42.2,57.61,64.63,54.4,67.97,48.46,54.84
E01011583,Leeds 003C,45.84,63.88,74.25,62.81,76.32,51.55,61.07
E01011584,Leeds 003D,49.49,64.92,73.44,67.58,81.07,54.4,64.51
E01011585,Leeds 062A,69.74,79.8,66,71.85,84,69.83,75.59
E01011586,Leeds 066A,69.82,69.31,62.08,63.75,77.51,70.06,70.81
E01011587,Leeds 062B,71.95,83.99,73.06,78.56,92.29,72.48,80.62
E01011588,Leeds 039A,65.22,66.06,59.95,64.11,69.09,68.18,66.55
E01011589,Leeds 039B,64.46,68.73,62.02,66.18,68.89,67.47,67.05
E01011590,Leeds 039C,63.04,65.46,61.64,62.69,67.06,66.49,64.97
E01011591,Leeds 052D,66.94,64.6,57.96,63.01,73.86,69.37,67.88
E01011592,Leeds 039D,68.34,76.01,66.9,70.47,83.97,69.36,74.3
E01011593,Leeds 039E,67.83,74.57,65.27,67.88,80.46,69.11,72.53
E01011594,Leeds 062C,70.8,79.76,67.98,72.75,86.04,71.01,76.74
E01011595,Leeds 066B,72.58,73.88,63.73,68.85,76.75,73.2,73.35
