id,name,lon,lat,jobs
E01004889,Bolton 004D,-2.54818,53.60473,40
E01004890,Bolton 004E,-2.54367,53.60067,900
E01004891,Bolton 028A,-2.49804,53.54802,225
E01004892,Bolton 030A,-2.48366,53.54353,250
E01004893,Bolton 028B,-2.50822,53.54305,200
E01004894,Bolton 028C,-2.51763,53.54817,600
E01004895,Bolton 031B,-2.5168,53.54191,150
E01004896,Bolton 030B,-2.47314,53.53412,125
E01004897,Bolton 020E,-2.48775,53.56993,100
E01004899,Bolton 030C,-2.4811,53.55729,250
E01004900,Bolton 030D,-2.46928,53.55899,125
E01004901,Bolton 028E,-2.51376,53.55427,125
E01004902,Bolton 032D,-2.39547,53.5419,900
E01004903,Bolton 034A,-2.36972,53.54173,1500
E01004904,Bolton 034B,-2.3525,53.54092,250
E01004905,Bolton 034C,-2.3804,53.54237,250
E01004906,Bolton 032E,-2.38326,53.54626,450
E01004907,Bolton 034D,-2.38399,53.53693,600
E01004908,Bolton 034E,-2.36204,53.5347,600
E01004909,Bolton 034F,-2.37448,53.53715,300
E01004910,Bolton 034G,-2.36787,53.54893,250
E01004911,Bolton 024A,-2.37514,53.56366,300
E01004912,Bolton 024B,-2.38237,53.56025,300
E01004913,Bolton 024C,-2.36632,53.5649,500
E01004914,Bolton 024D,-2.3597,53.56247,30
E01004915,Bolton 024E,-2.37605,53.55587,75
E01004916,Bolton 024F,-2.36553,53.55773,175
E01004917,Bolton 019F,-2.39024,53.56544,200
E01004918,Bolton 024G,-2.37217,53.5682,100
E01004919,Bolton 012D,-2.46556,53.59074,250
E01004920,Bolton 012E,-2.47666,53.58942,175
E01004921,Bolton 008C,-2.45971,53.58949,250
E01004922,Bolton 015E,-2.45652,53.5867,400
E01004923,Bolton 018E,-2.45774,53.58216,250
E01004924,Bolton 008D,-2.48447,53.61032,450
E01004925,Bolton 008E,-2.45566,53.5933,100
E01004926,Bolton 010B,-2.40846,53.59171,150
E01004927,Bolton 010C,-2.41679,53.58944,1750
E01004928,Bolton 017C,-2.40865,53.58805,400
E01004929,Bolton 010D,-2.41497,53.59314,1250
E01004930,Bolton 017D,-2.40301,53.5875,150
E01004931,Bolton 017E,-2.41338,53.58214,600
E01004932,Bolton 017F,-2.40643,53.57857,225
E01004933,Bolton 035A,-2.52315,53.53062,100
E01004934,Bolton 035B,-2.53374,53.53056,75
E01004935,Bolton 035C,-2.51605,53.53654,200
E01004936,Bolton 031C,-2.52775,53.55059,1000
E01004937,Bolton 035D,-2.54515,53.54036,400
E01004938,Bolton 031D,-2.52319,53.54425,200
E01004939,Bolton 031E,-2.53371,53.54544,100
E01004940,Bolton 035E,-2.52347,53.53891,100
E01004941,Bury 021A,-2.26689,53.54906,125
E01004942,Bury 021B,-2.2874,53.54872,150
E01004943,Bury 021C,-2.28284,53.5441,50
E01004944,Bury 021D,-2.28082,53.54763,100
E01004945,Bury 017A,-2.26412,53.55826,350
E01004946,Bury 021E,-2.27448,53.55396,125
E01004947,Bury 009A,-2.31591,53.59383,15
E01004948,Bury 009B,-2.31652,53.58655,2250
E01004949,Bury 010A,-2.33307,53.59093,75
E01004950,Bury 010B,-2.3406,53.59625,200
E01004951,Bury 010C,-2.32617,53.58579,400
E01004952,Bury 010D,-2.33448,53.58656,125
E01004953,Bury 010E,-2.32253,53.59236,125
E01004954,Bury 007A,-2.25791,53.60219,6000
E01004955,Bury 007B,-2.26663,53.59896,150
E01004956,Bury 007C,-2.27714,53.61253,1250
E01004957,Bury 007D,-2.26788,53.5939,1250
E01004958,Bury 008A,-2.28284,53.59696,800
E01004959,Bury 008B,-2.27828,53.59314,250
E01004960,Bury 007E,-2.27532,53.60193,500
E01004961,Bury 005A,-2.30652,53.60063,600
E01004962,Bury 009C,-2.3192,53.60102,400
E01004963,Bury 006A,-2.32649,53.60095,450
E01004964,Bury 009D,-2.31166,53.59984,300
E01004965,Bury 005B,-2.31003,53.61412,500
E01004966,Bury 005C,-2.32095,53.61152,75
E01004967,Bury 005D,-2.30366,53.60534,75
E01004968,Bury 006B,-2.31522,53.60478,75
E01004969,Bury 022A,-2.24789,53.55013,350
E01004970,Bury 022B,-2.26845,53.54288,75
E01004971,Bury 022C,-2.27917,53.54135,350
E01004972,Bury 023A,-2.27584,53.53872,150
E01004973,Bury 023B,-2.27076,53.53701,350
E01004974,Bury 024A,-2.27854,53.53527,200
E01004975,Bury 023C,-2.2786,53.53299,225
E01004976,Bury 004A,-2.29688,53.6096,150
E01004977,Bury 004B,-2.28745,53.60999,225
E01004978,Bury 004C,-2.29359,53.60478,50
E01004979,Bury 008C,-2.29817,53.59936,3000
E01004980,Bury 008D,-2.28955,53.59878,600
E01004981,Bury 004D,-2.30125,53.6227,300
E01004982,Bury 004E,-2.28586,53.61842,250
E01004983,Bury 020A,-2.28991,53.54071,450
E01004984,Bury 019A,-2.30646,53.54267,200
E01004985,Bury 019B,-2.32164,53.5384,150
E01004986,Bury 020B,-2.29614,53.54505,1250
E01004987,Bury 020C,-2.29101,53.55612,300
E01004988,Bury 020D,-2.29041,53.55076,800
E01004989,Bury 019C,-2.30123,53.55239,1000
E01004990,Bury 016A,-2.34553,53.56299,150
E01004991,Bury 015A,-2.30477,53.57188,500
E01004992,Bury 015B,-2.30979,53.56218,1000
E01004993,Bury 015C,-2.3032,53.56362,600
E01004994,Bury 015D,-2.32187,53.56508,100
E01004995,Bury 018A,-2.34881,53.55995,200
E01004996,Bury 016B,-2.33598,53.56391,450
E01004997,Bury 014A,-2.33316,53.5666,175
E01004998,Bury 014B,-2.34208,53.57406,150
E01004999,Bury 014C,-2.32769,53.57606,225
E01005000,Bury 012A,-2.36363,53.57559,1000
E01005001,Bury 012B,-2.37089,53.57098,150
E01005002,Bury 014D,-2.35027,53.56895,100
E01005003,Bury 014E,-2.33808,53.56945,100
E01005004,Bury 016C,-2.3441,53.56723,125
E01005005,Bury 012C,-2.3617,53.58765,300
E01005006,Bury 012D,-2.34097,53.58527,225
E01005007,Bury 019D,-2.29844,53.55863,75
E01005008,Bury 016D,-2.3296,53.56119,1250
E01005009,Bury 016E,-2.32042,53.55877,900
E01005010,Bury 018B,-2.34711,53.55209,100
E01005011,Bury 019E,-2.30637,53.55396,125
E01005012,Bury 018C,-2.31332,53.55069,150
E01005013,Bury 018D,-2.32329,53.55336,600
E01005014,Bury 001A,-2.31733,53.65016,1500
E01005015,Bury 001B,-2.30522,53.65532,350
E01005016,Bury 001C,-2.32434,53.6492,250
E01005017,Bury 001D,-2.31297,53.64213,250
E01005018,Bury 001E,-2.32912,53.64299,350
E01005019,Bury 002A,-2.3303,53.63334,300
E01005020,Bury 003A,-2.31938,53.63589,100
E01005021,Bury 001F,-2.34611,53.64947,200
E01005022,Bury 003B,-2.30912,53.63246,500
E01005023,Bury 002B,-2.32578,53.62614,150
E01005024,Bury 008E,-2.28784,53.59478,4500
E01005025,Bury 011A,-2.30411,53.58405,900
E01005026,Bury 008F,-2.28551,53.58969,450
E01005027,Bury 011B,-2.30054,53.58923,6000
E01005028,Bury 011C,-2.28834,53.58339,125
E01005029,Bury 011D,-2.29223,53.58516,600
E01005030,Bury 013A,-2.31008,53.57955,225
E01005031,Bury 025A,-2.29354,53.52031,40
E01005032,Bury 025B,-2.29097,53.51557,600
E01005033,Bury 024B,-2.27778,53.52062,2500
E01005034,Bury 022D,-2.29134,53.53675,3500
E01005035,Bury 025C,-2.3044,53.52949,40
E01005036,Bury 024C,-2.28301,53.52987,1250
E01005037,Bury 024D,-2.28982,53.52537,125
E01005038,Bury 025D,-2.28618,53.52111,150
E01005039,Bury 023D,-2.27007,53.52771,400
E01005040,Bury 026A,-2.25229,53.52666,400
E01005041,Bury 026B,-2.25853,53.52324,350
E01005042,Bury 026C,-2.26992,53.52329,1250
E01005043,Bury 026D,-2.26282,53.52073,600
E01005044,Bury 026E,-2.26742,53.51919,1000
E01005045,Bury 023E,-2.27533,53.52761,300
E01005046,Bury 002C,-2.33114,53.6249,250
E01005047,Bury 003C,-2.3622,53.62028,400
E01005048,Bury 002D,-2.34018,53.62836,300
E01005049,Bury 003D,-2.33715,53.61854,800
E01005050,Bury 006C,-2.32968,53.60763,125
E01005051,Bury 003E,-2.33313,53.61289,150
E01005052,Bury 006D,-2.34214,53.60738,100
E01005053,Bury 006E,-2.34007,53.60193,300
E01005054,Bury 013B,-2.27049,53.57457,6000
E01005055,Bury 017B,-2.2874,53.56337,400
E01005056,Bury 017C,-2.27827,53.56061,350
E01005057,Bury 017D,-2.27595,53.56668,125
E01005058,Bury 017E,-2.28389,53.55737,75
E01005059,Bury 013C,-2.29089,53.5804,200
E01005060,Bury 013D,-2.29489,53.56906,700
E01005061,Manchester 018A,-2.20733,53.47057,6000
E01005063,Manchester 018C,-2.21456,53.46449,900
E01005065,Manchester 018D,-2.22271,53.47073,3000
E01005066,Manchester 018E,-2.23606,53.47121,600
E01005067,Manchester 020A,-2.19549,53.4685,400
E01005068,Manchester 051A,-2.28585,53.37904,125
E01005069,Manchester 047A,-2.30186,53.39623,1000
E01005070,Manchester 051B,-2.28694,53.3916,10000
E01005071,Manchester 048A,-2.28681,53.39555,125
E01005072,Manchester 048B,-2.28148,53.39387,350
E01005073,Manchester 048C,-2.27454,53.39551,50
E01005074,Manchester 051C,-2.27969,53.38658,600
E01005075,Manchester 051D,-2.2944,53.38587,1000
E01005076,Manchester 039A,-2.24008,53.42494,300
E01005077,Manchester 042A,-2.26494,53.42045,100
E01005078,Manchester 042B,-2.248,53.41918,500
E01005079,Manchester 042C,-2.25622,53.42178,1750
E01005081,Manchester 039C,-2.25924,53.43364,1000
E01005082,Manchester 037A,-2.27635,53.42851,400
E01005083,Manchester 039D,-2.24909,53.42487,3500
E01005084,Manchester 042D,-2.26541,53.42815,250
E01005085,Manchester 049A,-2.26424,53.39547,125
E01005086,Manchester 049B,-2.26062,53.39316,75
E01005087,Manchester 050A,-2.26701,53.39129,30
E01005088,Manchester 050B,-2.27101,53.38889,250
E01005089,Manchester 049C,-2.25973,53.38763,350
E01005090,Manchester 050C,-2.27159,53.38309,1500
E01005091,Manchester 050D,-2.26247,53.38428,400
E01005092,Manchester 015A,-2.18173,53.48446,250
E01005093,Manchester 012A,-2.17498,53.48448,45
E01005094,Manchester 012B,-2.17385,53.48173,700
E01005097,Manchester 012C,-2.17846,53.48887,225
E01005098,Manchester 001A,-2.23535,53.53662,450
E01005099,Manchester 001B,-2.21272,53.53762,175
E01005100,Manchester 001C,-2.22411,53.5368,400
E01005101,Manchester 002A,-2.21964,53.53032,450
E01005102,Manchester 001D,-2.23709,53.53413,100
E01005103,Manchester 001E,-2.22889,53.53002,225
E01005104,Manchester 004A,-2.23509,53.52731,150
E01005105,Manchester 015C,-2.20343,53.47571,500
E01005106,Manchester 015D,-2.18883,53.4758,4000
E01005107,Manchester 015E,-2.17534,53.47638,2000
E01005111,Manchester 047B,-2.30618,53.40746,30
E01005112,Manchester 048D,-2.27628,53.40057,75
E01005113,Manchester 047C,-2.30331,53.40234,350
E01005114,Manchester 047D,-2.31095,53.40415,250
E01005115,Manchester 044A,-2.28945,53.40708,100
E01005116,Manchester 047E,-2.2995,53.40536,1000
E01005117,Manchester 048E,-2.28643,53.4029,500
E01005118,Manchester 034A,-2.20495,53.43386,250
E01005119,Manchester 041A,-2.20401,53.4258,150
E01005120,Manchester 034B,-2.19935,53.43309,125
E01005121,Manchester 041B,-2.20827,53.42961,350
E01005122,Manchester 041C,-2.19637,53.43153,150
E01005123,Manchester 041D,-2.21386,53.42731,100
E01005124,Manchester 041E,-2.2079,53.42199,100
E01005125,Manchester 040A,-2.21482,53.42141,250
E01005126,Manchester 045A,-2.21497,53.41793,350
E01005128,Manchester 055A,-2.2387,53.47306,4000
E01005129,Manchester 061A,-2.21432,53.49284,1250
E01005130,Manchester 054A,-2.22283,53.49193,400
E01005132,Manchester 061B,-2.2119,53.48877,200
E01005135,Manchester 002B,-2.20656,53.53112,350
E01005136,Manchester 002C,-2.21386,53.52752,700
E01005138,Manchester 002D,-2.20243,53.52512,45
E01005139,Manchester 003B,-2.19827,53.52839,225
E01005141,Manchester 003C,-2.19563,53.52216,35
E01005142,Manchester 058A,-2.24593,53.50919,700
E01005143,Manchester 056A,-2.23758,53.50437,200
E01005145,Manchester 008A,-2.23813,53.50751,400
E01005147,Manchester 058B,-2.24077,53.49753,2500
E01005149,Manchester 008C,-2.23888,53.51044,250
E01005150,Manchester 029A,-2.27881,53.44321,1750
E01005151,Manchester 029B,-2.28806,53.44387,100
E01005152,Manchester 029C,-2.28233,53.4453,175
E01005153,Manchester 037B,-2.27952,53.43853,500
E01005154,Manchester 033A,-2.27454,53.44008,350
E01005155,Manchester 037C,-2.28939,53.43881,75
E01005156,Manchester 033B,-2.2684,53.43804,300
E01005157,Manchester 037D,-2.28786,53.43377,200
E01005158,Manchester 033C,-2.27135,53.43476,500
E01005159,Manchester 029D,-2.27838,53.44708,600
E01005160,Manchester 004B,-2.25282,53.53602,300
E01005161,Manchester 004C,-2.23714,53.52233,40
E01005162,Manchester 004D,-2.25237,53.52176,450
E01005163,Manchester 004E,-2.24161,53.52048,100
E01005164,Manchester 006A,-2.22839,53.51941,4000
E01005165,Manchester 008D,-2.24431,53.51577,1000
E01005166,Manchester 008E,-2.23748,53.51594,300
E01005167,Manchester 008F,-2.23005,53.51396,800
E01005168,Manchester 045B,-2.22131,53.41287,500
E01005169,Manchester 045C,-2.23082,53.40913,2500
E01005170,Manchester 045D,-2.23611,53.4042,75
E01005171,Manchester 045E,-2.22133,53.40621,1000
E01005172,Manchester 043A,-2.23679,53.42128,225
E01005173,Manchester 043B,-2.24352,53.41614,200
E01005174,Manchester 043C,-2.22684,53.42012,150
E01005175,Manchester 043D,-2.22361,53.41668,200
E01005176,Manchester 043E,-2.22966,53.41582,2000
E01005177,Manchester 043F,-2.23573,53.41497,500
E01005178,Manchester 030A,-2.2394,53.44691,300
E01005179,Manchester 030B,-2.25441,53.44611,400
E01005180,Manchester 030C,-2.22984,53.44665,150
E01005181,Manchester 030D,-2.25111,53.44266,450
E01005182,Manchester 030E,-2.24409,53.44821,1500
E01005183,Manchester 030F,-2.24019,53.44323,125
E01005184,Manchester 032A,-2.22157,53.44581,450
E01005185,Manchester 032B,-2.21921,53.44312,350
E01005186,Manchester 020B,-2.18479,53.46702,1500
E01005187,Manchester 021A,-2.15977,53.4681,45
E01005188,Manchester 021B,-2.15314,53.46672,300
E01005189,Manchester 017D,-2.17422,53.46504,1500
E01005190,Manchester 017E,-2.16847,53.46644,125
E01005191,Manchester 021C,-2.16795,53.46379,125
E01005192,Manchester 021D,-2.15888,53.46027,300
E01005193,Manchester 021E,-2.16105,53.45564,175
E01005195,Manchester 023A,-2.17812,53.4542,250
E01005197,Manchester 023C,-2.16986,53.45913,250
E01005198,Manchester 023D,-2.18546,53.45536,100
E01005199,Manchester 064C,-2.18618,53.44822,100
E01005200,Manchester 064A,-2.17724,53.44833,500
E01005201,Manchester 023E,-2.17976,53.46035,100
E01005202,Manchester 009A,-2.20334,53.50328,5000
E01005203,Manchester 009B,-2.21753,53.50747,200
E01005205,Manchester 006B,-2.2118,53.51248,1500
E01005206,Manchester 006C,-2.21811,53.5149,450
E01005207,Manchester 006D,-2.20768,53.51645,75
E01005208,Manchester 019A,-2.24862,53.46389,4000
E01005210,Manchester 019C,-2.2408,53.46573,1500
E01005212,Manchester 057A,-2.2455,53.46881,1750
E01005213,Manchester 059A,-2.26052,53.46774,225
E01005214,Manchester 019D,-2.25406,53.46659,300
E01005215,Manchester 034C,-2.18118,53.43635,300
E01005216,Manchester 034D,-2.19184,53.43843,125
E01005217,Manchester 034E,-2.20208,53.43811,350
E01005218,Manchester 034F,-2.1997,53.44196,350
E01005219,Manchester 031A,-2.19557,53.4458,500
E01005220,Manchester 031B,-2.18587,53.44556,300
E01005221,Manchester 031C,-2.19054,53.44286,800
E01005222,Manchester 031D,-2.18139,53.44023,500
E01005223,Manchester 007A,-2.19949,53.51589,150
E01005224,Manchester 007B,-2.19938,53.51138,450
E01005225,Manchester 007C,-2.18938,53.51041,200
E01005226,Manchester 007D,-2.19501,53.51201,200
E01005227,Manchester 009D,-2.2046,53.50942,75
E01005228,Manchester 009E,-2.19284,53.50622,45
E01005229,Manchester 007E,-2.19317,53.51732,125
E01005230,Manchester 022B,-2.20811,53.45824,300
E01005231,Manchester 022C,-2.2155,53.45798,225
E01005232,Manchester 020C,-2.19462,53.46172,2250
E01005233,Manchester 063B,-2.1923,53.4552,125
E01005234,Manchester 063A,-2.1976,53.45527,700
E01005235,Manchester 020D,-2.18838,53.45934,300
E01005236,Manchester 022D,-2.20868,53.45558,175
E01005237,Manchester 022E,-2.20178,53.45347,500
E01005238,Manchester 063D,-2.19726,53.45044,200
E01005239,Manchester 020E,-2.20752,53.46383,400
E01005243,Manchester 024B,-2.25456,53.45686,400
E01005244,Manchester 025C,-2.23141,53.456,500
E01005245,Manchester 024C,-2.24313,53.45671,175
E01005246,Manchester 024D,-2.24383,53.45483,125
E01005247,Manchester 005A,-2.16373,53.51495,75
E01005248,Manchester 005B,-2.17457,53.51273,75
E01005249,Manchester 005C,-2.18191,53.51324,250
E01005250,Manchester 005D,-2.17438,53.51903,250
E01005251,Manchester 003D,-2.1711,53.52467,300
E01005252,Manchester 003E,-2.18047,53.52215,150
E01005253,Manchester 005E,-2.16854,53.51884,75
E01005254,Manchester 005F,-2.15927,53.51899,100
E01005255,Manchester 012D,-2.17758,53.49359,35
E01005256,Manchester 011A,-2.18298,53.502,1750
E01005257,Manchester 011B,-2.20005,53.49583,4000
E01005258,Manchester 011C,-2.16952,53.49907,175
E01005259,Manchester 011D,-2.1769,53.49795,350
E01005260,Manchester 011E,-2.16794,53.49541,225
E01005261,Manchester 012E,-2.18127,53.49645,200
