LSOA21CD,LSOA21NM,city,origin_bng_e,origin_bng_n,population_mid_2022,population_per_km2,imd_score,imd_decile,census2021_no_car_household_pct,distance_to_city_centre_km,active_bus_stops,bus_stops_per_km2,scheduled_stop_calls_core_06_22,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,nearest_any_core_bus_network_m,nearest_hf_bus_network_m,within_400m_any_core_bus,within_400m_hf_bus,reachable_graph_snap_offset_any_m,reachable_graph_snap_offset_hf_m,walk_distance_repair_flag
E01011264,Leeds 011A,Leeds,421068.6992627782,441788.0341678163,1300,2039.805787991053,17.003,6,19.09722222222222,11.774498164483983,15,23.536220630666,86,0.3583333333333333,2,123.9454178303116,828.9764178303117,True,0,,,False
E01011265,Leeds 009A,Leeds,419100.2656928175,442007.84871901193,1989,3771.669448257361,11.121,8,24.45175438596491,13.43557241734039,16,30.340226833643932,723,2.82421875,6,184.6485141420349,184.6485141420349,True,1,,,False
E01011266,Leeds 008A,Leeds,417321.1314009817,442493.6309210092,2604,1028.650530015438,2.03,10,7.80701754385965,15.164204343601773,7,2.765189596815694,179,1.5982142857142858,4,1030.4111025369652,2090.3531025369653,False,0,,,False
E01011267,Leeds 009B,Leeds,419641.1321479365,442026.4181370964,1687,3755.747953500565,21.65,4,23.236514522821576,13.019228038804028,18,40.073185040314264,421,1.4618055555555556,5,204.18253589704184,755.247535897042,True,0,,,False
E01011268,Leeds 010A,Leeds,420223.2028546827,441937.225790376,1401,3547.401074699739,33.334,3,32.432432432432435,12.511568616854074,7,17.724345126979426,120,1.0714285714285714,3,132.46663154575245,1272.3076315457522,True,0,,,False
E01011269,Leeds 011B,Leeds,421525.9733605907,441585.58222264505,1568,2489.3753852040886,18.612,5,26.190476190476193,11.300037461672709,14,22.22656593932222,308,1.375,4,248.6849182169555,721.7009182169554,True,0,,,False
E01011270,Leeds 008B,Leeds,415381.50895893655,442684.9389813169,1691,213.24882132059415,2.95,10,4.545454545454546,16.898489916642912,2,0.2522162286464744,18,0.5625,2,3803.151595435168,4896.286595435166,False,0,,,False
E01011271,Leeds 009C,Leeds,418683.31354145333,441617.6892186874,2194,3696.7811437361866,3.447,10,11.409395973154362,13.545468388249148,5,8.424751922826314,88,1.1,6,341.8246209537999,750.8926209537999,True,0,,,False
E01011272,Leeds 009D,Leeds,419386.744812772,441032.1586147934,1454,2614.6232502582748,2.173,10,9.734513274336283,12.634200910100269,0,0.0,0,0.0,0,565.098694718046,1498.0516947180463,False,0,,,False
E01011273,Leeds 010B,Leeds,420098.4478416309,441234.8698536376,1474,3474.8172834760085,13.15,7,19.252077562326868,12.1732104525296,7,16.501845986656758,182,1.625,3,175.86721705284185,822.6692170528419,True,0,,,False
