LSOA21CD,LSOA21NM,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01035047,Leeds 082H,96.7145790554415,0.82135523613963,96.7145790554415,95.8932238193019,0,-95.8932238193019,95.8932238193019
E01035045,Leeds 063G,95.7905544147844,2.46406570841889,90.5544147843943,93.3264887063655,5.23613963039014,-88.0903490759754,93.3264887063655
E01011374,Leeds 085D,92.7104722792608,6.16016427104723,94.4558521560575,86.5503080082136,-1.7453798767967,-88.2956878850103,88.2956878850103
E01011668,Leeds 110E,83.9835728952772,2.05338809034908,90.3490759753593,81.9301848049281,-6.36550308008214,-88.2956878850103,88.2956878850103
E01011479,Leeds 056B,89.0143737166325,1.02669404517454,78.4394250513347,87.9876796714579,10.5749486652977,-77.4127310061602,87.9876796714579
E01033033,Leeds 075F,98.7679671457906,12.9363449691992,99.5893223819302,85.8316221765914,-0.821355236139638,-86.652977412731,86.652977412731
E01011426,Leeds 048B,82.1355236139631,2.6694045174538,87.8850102669405,79.4661190965093,-5.74948665297741,-85.2156057494867,85.2156057494867
E01011449,Leeds 054E,91.170431211499,7.39219712525667,87.2689938398357,83.7782340862423,3.90143737166325,-79.8767967145791,83.7782340862423
E01011375,Leeds 086D,86.3449691991787,3.49075975359343,78.8501026694045,82.8542094455852,7.49486652977413,-75.3593429158111,82.8542094455852
E01011372,Leeds 086C,90.3490759753593,7.59753593429158,89.9383983572895,82.7515400410678,0.410677618069812,-82.3408624229979,82.7515400410678
E01011451,Leeds 110D,70.2258726899384,2.87474332648871,83.3675564681725,67.3511293634497,-13.1416837782341,-80.4928131416838,80.4928131416838
E01011625,Leeds 075C,83.7782340862423,9.03490759753593,77.6180698151951,74.7433264887064,6.16016427104722,-68.5831622176591,74.7433264887064
E01011574,Leeds 004E,7.18685831622177,80.9034907597536,21.1498973305955,-73.7166324435318,-13.9630390143737,59.7535934291581,73.7166324435318
E01011353,Leeds 034D,65.5030800821355,1.64271047227926,73.1006160164271,63.8603696098563,-7.59753593429159,-71.4579055441479,71.4579055441479
E01011733,Leeds 081D,81.7248459958932,10.6776180698152,71.6632443531828,71.047227926078,10.0616016427105,-60.9856262833676,71.047227926078
E01011618,Leeds 070C,95.2772073921971,26.0780287474333,96.9199178644764,69.1991786447639,-1.64271047227926,-70.8418891170431,70.8418891170431
E01011347,Leeds 065B,83.5728952772074,14.0657084188912,82.3408624229979,69.5071868583162,1.23203285420945,-68.2751540041068,69.5071868583162
E01011704,Leeds 002C,4.92813141683778,73.5112936344969,17.0431211498973,-68.5831622176591,-12.1149897330596,56.4681724845996,68.5831622176591
E01011626,Leeds 075D,90.1437371663244,21.7659137577002,86.8583162217659,68.3778234086242,3.28542094455852,-65.0924024640657,68.3778234086242
E01011304,Leeds 089C,8.82956878850103,76.5913757700205,41.6837782340862,-67.7618069815195,-32.8542094455852,34.9075975359343,67.7618069815195
