LSOA21CD,LSOA21NM,jobs_accessible_30min_bus,jobs_accessible_45min_bus,jobs_accessible_60min_bus
E01011399,Leeds 074B,4375,24535,41745
E01011400,Leeds 074C,4610,23435,34785
E01011401,Leeds 077C,2560,23435,34785
E01011402,Leeds 087D,175,175,6875
E01011403,Leeds 074D,4760,24185,37620
E01011404,Leeds 077D,1310,21410,30985
E01011405,Leeds 077E,2510,24735,42760
E01011406,Leeds 057A,25025,50545,223515
E01011407,Leeds 057B,6750,34055,182365
E01011408,Leeds 057C,28560,138315,281375
E01011409,Leeds 057D,27850,138090,293350
E01011410,Leeds 057E,500,500,500
E01011411,Leeds 073A,23185,36520,180340
E01011412,Leeds 057F,17300,28235,93720
E01011413,Leeds 069A,4785,102870,263665
E01011414,Leeds 073B,18425,36370,179365
E01011415,Leeds 069B,20035,181120,314205
E01011416,Leeds 069C,3000,44435,234515
E01011417,Leeds 069D,7160,99810,267865
E01011418,Leeds 073C,19375,36020,180465
E01011419,Leeds 073D,50,50,50
E01011420,Leeds 069E,2250,2250,2250
E01011421,Leeds 040A,24145,156470,278265
E01011422,Leeds 048A,111870,268345,365285
E01011423,Leeds 047A,20220,87095,256230
E01011424,Leeds 047B,23145,156295,290765
E01011425,Leeds 040B,6820,82020,227240
E01011426,Leeds 048B,81120,255820,341620
E01011427,Leeds 047C,22570,156545,292140
E01011428,Leeds 048C,110395,260045,361510
E01011429,Leeds 048D,110270,259245,363335
E01011430,Leeds 053A,32170,175720,306990
E01011431,Leeds 047D,17745,86270,257255
E01011432,Leeds 053B,33200,214670,321755
E01011433,Leeds 053C,72250,248470,351310
E01011434,Leeds 053D,78870,256450,356320
E01011435,Leeds 044A,64945,236210,337170
E01011440,Leeds 044D,117345,263820,371635
E01011441,Leeds 044E,65470,230735,340470
E01011442,Leeds 110A,114420,267610,372950
E01011443,Leeds 110B,106695,276970,368635
E01011444,Leeds 110C,105145,247520,362550
E01011445,Leeds 054A,103995,253460,352175
E01011446,Leeds 054B,106470,248885,347290
E01011447,Leeds 054C,107770,259335,377580
E01011448,Leeds 054D,114995,258635,353835
E01011449,Leeds 054E,105795,250960,357930
E01011450,Leeds 038D,11645,140215,312315
E01011451,Leeds 110D,67720,230895,346150
E01011452,Leeds 027A,4675,23575,172420
E01011453,Leeds 028A,2250,16975,183670
E01011454,Leeds 027B,6925,25350,184370
E01011455,Leeds 021A,4050,20500,48865
E01011456,Leeds 021B,3750,12575,80540
E01011457,Leeds 027C,2000,2000,9325
E01011458,Leeds 027D,6600,26300,186720
E01011459,Leeds 021C,8300,31450,154610
E01011460,Leeds 028B,7200,18850,143085
E01011461,Leeds 021D,4675,23175,173670
E01011462,Leeds 028C,5250,19200,184860
E01011463,Leeds 028D,5900,17225,155470
E01011464,Leeds 028E,7825,58990,206285
E01011465,Leeds 027E,8275,26325,189510
E01011466,Leeds 094A,4985,69575,266800
E01011467,Leeds 112A,111500,271865,391985
E01011468,Leeds 112B,53200,201050,368850
E01011469,Leeds 094B,10575,110600,280585
E01011470,Leeds 112C,15200,61900,225760
E01011471,Leeds 092A,38025,121085,291325
E01011472,Leeds 092B,33025,120785,286800
E01011473,Leeds 092C,6325,68385,260750
E01011474,Leeds 092D,13385,176960,303655
E01011475,Leeds 094C,7360,69485,275900
E01011476,Leeds 094D,7360,69485,271025
