LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011264,Leeds 011A,123.945417830312,0.358333333333333,2,82.7515400410678,3.49075975359343,14.5790554414784,33.6071184120465
E01011265,Leeds 009A,184.648514142035,2.82421875,6,66.9404517453799,53.388090349076,67.7618069815195,62.6967830253251
E01011266,Leeds 008A,1030.41110253697,1.59821428571429,4,2.87474332648871,26.2833675564682,44.2505133470226,24.4695414099932
E01011267,Leeds 009B,204.182535897042,1.46180555555556,5,62.0123203285421,22.3819301848049,56.6735112936345,47.0225872689939
E01011268,Leeds 010A,132.466631545752,1.07142857142857,3,80.2874743326489,14.476386036961,29.2607802874743,41.3415468856947
E01011269,Leeds 011B,248.684918216956,1.375,4,51.7453798767967,20.7392197125257,44.2505133470226,38.911704312115
E01011270,Leeds 008B,3803.15159543517,0.5625,2,0,4.92813141683778,14.5790554414784,6.50239561943874
E01011271,Leeds 009C,341.8246209538,1.1,6,36.5503080082136,15.1950718685832,67.7618069815195,39.8357289527721
E01011272,Leeds 009D,565.098694718046,0,0,14.1683778234086,1.3347022587269,1.3347022587269,5.61259411362081
E01011273,Leeds 010B,175.867217052842,1.625,3,69.8151950718686,27.0020533880904,29.2607802874743,42.0260095824778
E01011274,Leeds 010C,152.632229518941,3.7578125,5,75.9753593429158,68.993839835729,56.6735112936345,67.2142368240931
E01011275,Leeds 010D,216.523949134634,2.38541666666667,3,59.5482546201232,45.5852156057495,29.2607802874743,44.798083504449
E01011276,Leeds 011C,440.743408325054,5.5,5,23.2032854209446,85.4209445585216,56.6735112936345,55.0992470910336
E01011277,Leeds 014A,243.920382348913,1.14583333333333,2,52.3613963039014,16.2217659137577,14.5790554414784,27.7207392197125
E01011278,Leeds 014B,197.652073005803,2.34375,6,62.8336755646817,44.35318275154,67.7618069815195,58.3162217659138
E01011279,Leeds 008C,1011.47320642808,0.3125,1,3.28542094455852,3.08008213552361,5.74948665297741,4.03832991101985
E01011280,Leeds 008D,392.130196139674,0.979166666666667,6,28.7474332648871,11.6016427104723,67.7618069815195,36.0369609856263
E01011281,Leeds 059A,254.630077056804,1.00568181818182,2,50.5133470225873,12.9363449691992,14.5790554414784,26.009582477755
E01011282,Leeds 059B,313.235245218825,2.83333333333333,6,40.4517453798768,53.7987679671458,67.7618069815195,54.0041067761807
E01011283,Leeds 059C,396.410823386998,1.89285714285714,6,27.7207392197125,33.4702258726899,67.7618069815195,42.984257357974
E01011284,Leeds 071A,744.945824505456,3.13194444444444,5,6.77618069815195,57.700205338809,56.6735112936345,40.3832991101985
E01011286,Leeds 059D,495.947413211859,5.42708333333333,7,18.6858316221766,84.5995893223819,75.0513347022587,59.4455852156058
E01011287,Leeds 067B,373.378959214895,5,5,31.6221765913758,81.5195071868583,56.6735112936345,56.6050650239562
E01011292,Leeds 071B,88.169774763838,3.32291666666667,7,89.5277207392197,61.1909650924025,75.0513347022587,75.2566735112936
E01011293,Leeds 071C,170.59147854334,6.51785714285714,10,71.047227926078,89.9383983572895,89.0143737166325,83.3333333333333
E01011294,Leeds 071D,191.596374801996,3.8125,8,64.0657084188912,70.3285420944559,80.9034907597536,71.7659137577002
E01011295,Leeds 059E,100.174619078511,1.65625,1,88.0903490759754,27.9260780287474,5.74948665297741,40.5886379192334
E01011296,Leeds 030A,686.594447872794,1.13541666666667,3,8.62422997946612,16.0164271047228,29.2607802874743,17.9671457905544
E01011297,Leeds 030B,2221.5803939119,1.55555555555556,5,0.205338809034908,25.0513347022587,56.6735112936345,27.3100616016427
E01011298,Leeds 088A,149.588928637597,1.13461538461538,2,77.0020533880904,15.8110882956879,14.5790554414784,35.7973990417522
E01011299,Leeds 088B,407.895098069641,1.37096774193548,5,26.4887063655031,20.3285420944559,56.6735112936345,34.4969199178645
E01011300,Leeds 089A,56.4869014599995,2.9375,5,95.2772073921971,55.1334702258727,56.6735112936345,69.0280629705681
E01011301,Leeds 089B,209.526929394764,5.03125,5,60.7802874743327,81.7248459958932,56.6735112936345,66.3928815879535
E01011302,Leeds 088C,830.648362304402,2.84895833333333,5,5.3388090349076,54.2094455852156,56.6735112936345,38.7405886379192
E01011303,Leeds 088D,475.363196495548,1.9375,4,20.1232032854209,35.2156057494867,44.2505133470226,33.1964407939767
E01011304,Leeds 089C,94.5274458313681,3.23611111111111,5,88.7063655030801,59.1375770020534,56.6735112936345,68.1724845995893
E01011305,Leeds 089D,125.990665247081,3.47321428571429,4,82.1355236139631,64.0657084188912,44.2505133470226,63.4839151266256
E01011306,Leeds 089E,885.837625599686,3.9375,4,4.51745379876797,72.9979466119097,44.2505133470226,40.5886379192334
E01011307,Leeds 103A,587.336319450442,3.7,3,12.9363449691992,67.5564681724846,29.2607802874743,36.5845311430527
E01011308,Leeds 103B,220.841220395666,2.59027777777778,3,58.1108829568789,51.0266940451745,29.2607802874743,46.1327857631759
E01011309,Leeds 030C,346.239575639763,2.26923076923077,5,35.7289527720739,42.0944558521561,56.6735112936345,44.8323066392882
E01011310,Leeds 030D,712.688290418862,1.11057692307692,3,7.59753593429158,15.605749486653,29.2607802874743,17.4880219028063
E01011311,Leeds 022A,1028.18489988578,1.59558823529412,3,3.08008213552361,26.0780287474333,29.2607802874743,19.4729637234771
E01011312,Leeds 086A,161.435249375245,11.125,9,73.1006160164271,97.741273100616,85.8316221765914,85.5578370978782
E01011313,Leeds 091A,342.903353507609,5.5,3,36.3449691991786,85.4209445585216,29.2607802874743,50.3422313483915
E01011314,Leeds 091B,339.194922370693,5.5,3,37.1663244353183,85.4209445585216,29.2607802874743,50.6160164271047
E01011315,Leeds 090A,496.067057174841,2.50892857142857,4,18.4804928131417,50.3080082135524,44.2505133470226,37.6796714579056
E01011316,Leeds 086B,182.257674631716,14.53125,8,68.5831622176591,99.3839835728953,80.9034907597536,82.9568788501027
E01011317,Leeds 090B,125.321135477325,3.58333333333333,8,82.3408624229979,65.0924024640657,80.9034907597536,76.1122518822724
E01011318,Leeds 090C,11.9906804992708,2.1,8,99.7946611909651,38.8090349075975,80.9034907597536,73.1690622861054
