id,opportunity,percentile,cutoff,accessibility
E01011327,jobs,50,60,24915
E01011328,jobs,50,30,9800
E01011328,jobs,50,45,39440
E01011328,jobs,50,60,244995
E01011329,jobs,50,30,4625
E01011329,jobs,50,45,32080
E01011329,jobs,50,60,208615
E01011330,jobs,50,30,875
E01011330,jobs,50,45,22240
E01011330,jobs,50,60,155930
E01011331,jobs,50,30,4800
E01011331,jobs,50,45,46170
E01011331,jobs,50,60,294860
E01011332,jobs,50,30,4150
E01011332,jobs,50,45,30995
E01011332,jobs,50,60,225060
E01011333,jobs,50,30,7000
E01011333,jobs,50,45,35345
E01011333,jobs,50,60,268685
E01011334,jobs,50,30,14750
E01011334,jobs,50,45,79370
E01011334,jobs,50,60,299110
E01011335,jobs,50,30,13040
E01011335,jobs,50,45,36030
E01011335,jobs,50,60,263890
E01011336,jobs,50,30,6375
E01011336,jobs,50,45,76170
E01011336,jobs,50,60,298285
E01011337,jobs,50,30,10675
E01011337,jobs,50,45,64365
E01011337,jobs,50,60,267570
E01011338,jobs,50,30,172900
E01011338,jobs,50,45,330785
E01011338,jobs,50,60,406770
E01011339,jobs,50,30,32150
E01011339,jobs,50,45,209505
E01011339,jobs,50,60,333180
E01011340,jobs,50,30,16000
E01011340,jobs,50,45,83945
E01011340,jobs,50,60,255205
E01011341,jobs,50,30,58800
E01011341,jobs,50,45,182085
E01011341,jobs,50,60,325080
E01011342,jobs,50,30,15925
E01011342,jobs,50,45,85870
E01011342,jobs,50,60,276285
E01011343,jobs,50,30,7825
E01011343,jobs,50,45,130310
E01011343,jobs,50,60,312555
E01011344,jobs,50,30,72025
E01011344,jobs,50,45,247045
E01011344,jobs,50,60,351310
E01011345,jobs,50,30,24400
E01011345,jobs,50,45,136295
E01011345,jobs,50,60,294100
E01011346,jobs,50,30,18500
E01011346,jobs,50,45,173635
E01011346,jobs,50,60,323855
E01011347,jobs,50,30,72225
E01011347,jobs,50,45,225405
E01011347,jobs,50,60,350830
E01011348,jobs,50,30,73260
E01011348,jobs,50,45,260660
E01011348,jobs,50,60,369155
E01011349,jobs,50,30,78400
E01011349,jobs,50,45,260285
E01011349,jobs,50,60,382070
E01011350,jobs,50,30,61595
E01011350,jobs,50,45,214955
E01011350,jobs,50,60,330195
E01011351,jobs,50,30,12525
E01011351,jobs,50,45,121295
E01011351,jobs,50,60,289805
E01011352,jobs,50,30,73445
E01011352,jobs,50,45,250355
E01011352,jobs,50,60,352770
E01011353,jobs,50,30,13125
E01011353,jobs,50,45,150795
E01011353,jobs,50,60,302480
E01011354,jobs,50,30,11070
E01011354,jobs,50,45,136385
E01011354,jobs,50,60,314720
E01011355,jobs,50,30,8320
E01011355,jobs,50,45,152615
E01011355,jobs,50,60,304890
E01011356,jobs,50,30,98900
E01011356,jobs,50,45,280195
E01011356,jobs,50,60,364610
E01011357,jobs,50,30,67095
E01011357,jobs,50,45,247240
E01011357,jobs,50,60,345245
E01011358,jobs,50,30,57020
E01011358,jobs,50,45,225490
E01011358,jobs,50,60,323545
E01011359,jobs,50,30,73945
E01011359,jobs,50,45,178565
E01011359,jobs,50,60,317695
E01011360,jobs,50,30,102425
E01011360,jobs,50,45,288120
E01011360,jobs,50,60,368385
E01011361,jobs,50,30,105750
E01011361,jobs,50,45,248545
E01011361,jobs,50,60,355760
E01011362,jobs,50,30,48075
E01011362,jobs,50,45,210390
E01011362,jobs,50,60,357725
E01011363,jobs,50,30,136250
E01011363,jobs,50,45,304410
E01011363,jobs,50,60,411665
E01011364,jobs,50,30,165515
E01011364,jobs,50,45,313910
E01011364,jobs,50,60,404585
E01011366,jobs,50,30,12025
E01011366,jobs,50,45,197265
E01011366,jobs,50,60,330135
E01011368,jobs,50,30,88065
E01011368,jobs,50,45,269690
E01011368,jobs,50,60,375715
E01011369,jobs,50,30,97640
E01011369,jobs,50,45,275895
E01011369,jobs,50,60,385860
E01011370,jobs,50,30,58715
E01011370,jobs,50,45,228915
E01011370,jobs,50,60,357320
E01011371,jobs,50,30,156215
E01011371,jobs,50,45,305135
E01011371,jobs,50,60,400760
E01011372,jobs,50,30,59390
E01011372,jobs,50,45,262340
E01011372,jobs,50,60,376810
E01011373,jobs,50,30,55565
E01011373,jobs,50,45,218240
E01011373,jobs,50,60,350390
E01011374,jobs,50,30,100115
E01011374,jobs,50,45,280840
E01011374,jobs,50,60,376435
E01011375,jobs,50,30,51315
E01011375,jobs,50,45,198515
E01011375,jobs,50,60,328845
E01011376,jobs,50,30,1125
E01011376,jobs,50,45,5950
E01011376,jobs,50,60,18215
E01011377,jobs,50,30,3725
E01011377,jobs,50,45,10475
E01011377,jobs,50,60,80970
E01011378,jobs,50,30,1000
E01011378,jobs,50,45,6725
E01011378,jobs,50,60,33565
E01011379,jobs,50,30,4425
E01011379,jobs,50,45,19865
E01011379,jobs,50,60,142715
E01011380,jobs,50,30,1125
E01011380,jobs,50,45,9090
E01011380,jobs,50,60,80765
E01011381,jobs,50,30,0
E01011381,jobs,50,45,650
E01011381,jobs,50,60,8625
E01011382,jobs,50,30,5025
E01011382,jobs,50,45,16550
E01011382,jobs,50,60,131120
E01011383,jobs,50,30,4975
E01011383,jobs,50,45,18015
E01011383,jobs,50,60,144465
E01011384,jobs,50,30,225
E01011384,jobs,50,45,5025
E01011384,jobs,50,60,18875
E01011385,jobs,50,30,1125
E01011385,jobs,50,45,9090
E01011385,jobs,50,60,80765
E01011386,jobs,50,30,8500
E01011386,jobs,50,45,71295
E01011386,jobs,50,60,217140
E01011388,jobs,50,30,3450
E01011388,jobs,50,45,11900
E01011388,jobs,50,60,124345
E01011390,jobs,50,30,1525
E01011390,jobs,50,45,19050
E01011390,jobs,50,60,117890
E01011391,jobs,50,30,775
E01011391,jobs,50,45,2275
E01011391,jobs,50,60,17655
E01011392,jobs,50,30,975
E01011392,jobs,50,45,4800
E01011392,jobs,50,60,35090
E01011393,jobs,50,30,1525
E01011393,jobs,50,45,21375
E01011393,jobs,50,60,133390
E01011394,jobs,50,30,175
E01011394,jobs,50,45,575
E01011394,jobs,50,60,5775
E01011395,jobs,50,30,1525
E01011395,jobs,50,45,21375
E01011395,jobs,50,60,133390
E01011396,jobs,50,30,23135
