point_id,lat,lon,snap_lat,snap_lon,distance,found
E01011264,53.8718838958965,-1.68105212397387,53.8719505,-1.6812235,13.4491966861438,TRUE
E01011265,53.8739330462337,-1.71097912848413,53.8741585,-1.7109112,25.4475687030315,TRUE
E01011266,53.8783504435552,-1.73799368686565,53.8786953,-1.7379878,38.3268604933675,TRUE
E01011267,53.8740772494895,-1.70274542102154,53.8741543,-1.7029265,14.6315626730718,TRUE
E01011268,53.8732459476167,-1.69389823111966,53.8730534,-1.6938352,21.7932760337768,TRUE
E01011269,53.8700386840449,-1.67413634236088,53.8700859,-1.6741397,5.25185965380769,TRUE
E01011270,53.8800893650734,-1.76744103428458,53.8802804,-1.7674443,21.2313561779261,TRUE
E01011271,53.8704389765388,-1.71734157532155,53.8706561,-1.7173599,24.1594312900523,TRUE
E01011272,53.8651435660155,-1.70667081876198,53.8646456,-1.7064093,57.9334916268104,TRUE
E01011273,53.8669319040218,-1.69584150366985,53.8669351,-1.6958597,1.24419611201184,TRUE
E01011274,53.8641143401955,-1.68741436238905,53.8641134,-1.6874507,2.38368983387674,TRUE
E01011275,53.863801179741,-1.69610735255417,53.8638072,-1.6963492,15.8637933439507,TRUE
E01011276,53.862040053573,-1.68044637560743,53.8620179,-1.6804581,2.57911722961887,TRUE
E01011277,53.8571390953405,-1.6941246239545,53.8572896,-1.6941242,16.7260525154772,TRUE
E01011278,53.8568379203122,-1.68666464278594,53.8568748,-1.6866597,4.11133438610112,TRUE
E01011279,53.8840704230983,-1.70113126121142,53.885658,-1.7030346,216.036886075557,TRUE
E01011280,53.8800248985608,-1.71438156561532,53.8800259,-1.7143801,0.146985133243846,TRUE
E01011281,53.8099907302621,-1.60519527524067,53.8099845,-1.6051955,0.69254458084551,TRUE
E01011282,53.8096202781548,-1.6229236021755,53.8096468,-1.6227811,9.80460860976376,TRUE
E01011283,53.8059971274885,-1.60997499747043,53.8062634,-1.6101075,30.8428279879204,TRUE
E01011284,53.8029471849067,-1.58750435529971,53.8030269,-1.5874985,8.86730592578336,TRUE
E01011286,53.8066876692103,-1.61832438566227,53.8067414,-1.6181631,12.1526025069414,TRUE
E01011287,53.8038176966556,-1.63417034021989,53.8039276,-1.6342377,12.9893214930063,TRUE
E01011292,53.796018477725,-1.59185776173795,53.7960127,-1.5918578,0.64210063657679,TRUE
E01011293,53.7971761789075,-1.58607365628369,53.7972697,-1.5859608,12.7631170883699,TRUE
E01011294,53.7952141678245,-1.57849442056274,53.7954577,-1.5784587,27.1658380089953,TRUE
E01011295,53.8106587609855,-1.6168179855306,53.8108906,-1.6165658,30.6214604558889,TRUE
E01011296,53.8154601361641,-1.39011378843139,53.8158536,-1.3901177,43.7275568127362,TRUE
E01011297,53.809543655959,-1.36472025804427,53.810351,-1.3637235,111.03273748482,TRUE
E01011298,53.7949484969516,-1.33764409178929,53.7951577,-1.3376561,23.2627145897236,TRUE
E01011299,53.7576518478182,-1.32434378321554,53.7579977,-1.3243474,38.4363138313257,TRUE
E01011300,53.7769485110332,-1.38104053800873,53.7769856,-1.3810407,4.1218206695574,TRUE
E01011301,53.7731251692598,-1.37161510160821,53.7731344,-1.3714755,9.22593734894317,TRUE
E01011302,53.7761597801702,-1.36125067511754,53.77523,-1.3626234,137.128854530967,TRUE
E01011303,53.7618110075505,-1.36053979602184,53.7629136,-1.3618199,148.616310992178,TRUE
E01011304,53.7662291964461,-1.37052030503665,53.7665693,-1.3703942,38.6938027086648,TRUE
E01011305,53.7638967281155,-1.37399777202377,53.7638641,-1.3738138,12.6177903573432,TRUE
E01011306,53.76816202513,-1.38297886978208,53.7684064,-1.3833623,37.0389708304389,TRUE
E01011307,53.7509885454588,-1.36793739454938,53.7487319,-1.369515,271.370910829235,TRUE
E01011308,53.7540122356533,-1.38274736342599,53.7541395,-1.3827077,14.3813821844793,TRUE
E01011309,53.8515139711464,-1.37280071703003,53.8519118,-1.374108,96.4310796039094,TRUE
E01011310,53.8595541656296,-1.41167444244649,53.8588253,-1.4115468,81.4318938088374,TRUE
E01011311,53.8581909784119,-1.44676324597663,53.8578943,-1.4463224,43.8406528436277,TRUE
E01011312,53.7735714331882,-1.54749244957256,53.7735824,-1.5474909,1.2230160789808,TRUE
E01011313,53.772341288077,-1.56084076397093,53.7726355,-1.5607826,32.9190523492473,TRUE
E01011314,53.773684767971,-1.5590905226342,53.7735997,-1.5590799,9.47956368786635,TRUE
E01011315,53.7701831968099,-1.56568509782883,53.7703318,-1.5652899,30.7656917590444,TRUE
E01011316,53.7708517437158,-1.55295777320757,53.7709202,-1.5528213,11.7569769154017,TRUE
E01011317,53.7679662404115,-1.57761336933882,53.7679711,-1.5776687,3.67434958596677,TRUE
E01011318,53.7718344302081,-1.5848104736132,53.7717631,-1.5848578,8.51478790675549,TRUE
E01011319,53.7672360646608,-1.55598671369237,53.7673139,-1.5559986,8.68523804018136,TRUE
E01011320,53.766505005999,-1.55910505760779,53.7664107,-1.5585749,36.3679852142669,TRUE
E01011321,53.7636925950155,-1.57007094477582,53.7636685,-1.5694328,42.0068204862152,TRUE
E01011322,53.7660897987529,-1.54611761049015,53.7663137,-1.5465661,38.5627455762918,TRUE
E01011323,53.8153513071798,-1.62983867333126,53.8155089,-1.6296902,20.0407078575805,TRUE
E01011324,53.8182731441927,-1.61297139028447,53.8179801,-1.6131059,33.7413500983991,TRUE
E01011325,53.8223478471145,-1.62939634736916,53.8225395,-1.6293148,21.9604920938999,TRUE
E01011326,53.8180593024489,-1.62482191193062,53.8177652,-1.6246382,34.8360158510156,TRUE
E01011327,53.8207762965217,-1.65098119774134,53.8217345,-1.6501632,119.245029901026,TRUE
E01011328,53.8125850220645,-1.65737058832245,53.8125919,-1.6573984,1.9785063411476,TRUE
